# theme: fantasy,,
# game_version: Murder of Crowz,,
# is_base_game: false,,
# abominations: ,,
# necromancers: ,,
# ---,,
danger,spawn,qty
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
blue,murder_of_crowz,2
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
yellow,murder_of_crowz,3
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
orange,murder_of_crowz,4
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
red,murder_of_crowz,5
